,job,company,location,Job_type
0,Senior Machine Learning Engineer - Giza,AFKAR Technology ,"Giza, Egypt ",Full Time
1,Machine Learning Interns,Corporatica ,"Cairo, Egypt ",Internship
2,Machine Learning Intern,Talents Arena ,"Smart Village, Giza, Egypt ",Internship
3,Machine Learning Operations Engineer,Tahaluf Al Emarat Technical Solutions ,"Cairo, Egypt ",Full Time
4,Senior Machine Learning Engineer,Confidential ,"Maadi, Cairo, Egypt ",Full Time
5,Machine Tools & CNC Sales Engineer,Confidential ,"Heliopolis, Cairo, Egypt ",Full Time
6,NLP Engineer,Tahaluf Al Emarat Technical Solutions ,"Cairo, Egypt ",Full Time
7,Data Scientist,Paymob Solutions ,"Maadi, Cairo, Egypt ",Full Time
8,Data Scientist,Fixed Solutions ,"Sheraton, Cairo, Egypt ",Full Time
9,Senior Data Scientist,Nana ,"Sheraton, Cairo, Egypt ",Full Time
10,Senior Computer Vision Engineer,Tech SquAd ,"6th of October, Giza, Egypt ",Full Time
11,Data Scientist - For USA (Remotely),Mobile Wave 3 ,"Cairo, Egypt ",Full Time
12,Data Scientist/ML Engineer,TMentors ,"Maadi, Cairo, Egypt ",Full Time
13,Pilot Success Project Manager,LxT ,"Giza, Egypt ",Full Time
14,Graduate Research Intern,360Imaging ,"Dokki, Giza, Egypt ",Internship
